
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
460.4   	-13.46  
460.8   	-13.51  
461.2   	-13.58  
461.6   	-13.58  
462     	-13.62  
462.4   	-13.61  
462.8   	-13.58  
463.2   	-13.48  
463.6   	-13.44  
464     	-13.47  
464.4   	-13.5   
464.8   	-13.52  
465.2   	-13.55  
465.6   	-13.49  
466     	-13.47  
466.4   	-13.51  
466.8   	-13.56  
467.2   	-13.58  
467.6   	-13.6   
468     	-13.64  
468.4   	-13.66  
468.8   	-13.74  
469.2   	-13.79  
469.6   	-13.83  
470     	-13.91  
470.4   	-13.93  
470.8   	-13.92  
471.2   	-13.87  
471.6   	-13.78  
472     	-13.7   
472.4   	-13.7   
472.8   	-13.71  
473.2   	-13.66  
473.6   	-13.67  
474     	-13.66  
474.4   	-13.6   
474.8   	-13.52  
475.2   	-13.55  
475.6   	-13.6   
476     	-13.63  
476.4   	-13.63  
476.8   	-13.62  
477.2   	-13.59  
477.6   	-13.63  
478     	-13.72  
478.4   	-13.8   
478.8   	-13.83  
479.2   	-13.81  
479.6   	-13.77  
480     	-13.77  
480.4   	-13.79  
480.8   	-13.83  
481.2   	-13.88  
481.6   	-13.92  
482     	-13.91  
482.4   	-13.89  
482.8   	-13.91  
483.2   	-13.93  
483.6   	-13.97  
484     	-13.94  
484.4   	-13.96  
484.8   	-13.97  
485.2   	-14.03  
485.6   	-14.08  
486     	-14.09  
486.4   	-14.08  
486.8   	-14.05  
487.2   	-14     
487.6   	-14.01  
488     	-13.98  
488.4   	-13.88  
488.8   	-13.84  
489.2   	-13.88  
489.6   	-13.92  
490     	-14     
490.4   	-14     
490.8   	-13.97  
491.2   	-13.97  
491.6   	-13.95  
492     	-13.94  
492.4   	-13.95  
492.8   	-13.95  
493.2   	-13.95  
493.6   	-13.91  
494     	-13.84  
494.4   	-13.81  
494.8   	-13.82  
495.2   	-13.87  
495.6   	-13.9   
496     	-13.84  
496.4   	-13.84  
496.8   	-13.82  
497.2   	-13.83  
497.6   	-13.79  
498     	-13.77  
498.4   	-13.81  
498.8   	-13.83  
499.2   	-13.85  
499.6   	-13.88  
500     	-13.9   
500.4   	-13.94  
500.8   	-13.97  
501.2   	-14     
501.6   	-14.03  
502     	-14.05  
502.4   	-14.07  
502.8   	-14.11  
503.2   	-14.12  
503.6   	-14.08  
504     	-14.05  
504.4   	-14.01  
504.8   	-13.97  
505.2   	-13.97  
505.6   	-13.97  
506     	-13.94  
506.4   	-13.89  
506.8   	-13.89  
507.2   	-13.92  
507.6   	-13.92  
508     	-13.91  
508.4   	-13.91  
508.8   	-13.86  
509.2   	-13.8   
509.6   	-13.75  
510     	-13.78  
510.4   	-13.75  
510.8   	-13.76  
511.2   	-13.82  
511.6   	-13.87  
512     	-13.86  
512.4   	-13.91  
512.8   	-13.95  
513.2   	-13.94  
513.6   	-13.94  
514     	-13.91  
514.4   	-13.9   
514.8   	-13.85  
515.2   	-13.84  
515.6   	-13.91  
516     	-13.87  
516.4   	-13.87  
516.8   	-13.83  
517.2   	-13.79  
517.6   	-13.82  
518     	-13.81  
