
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
258.8   	-74.31  
259.2   	-76.88  
259.6   	-78.38  
260     	-79.29  
260.4   	-79.87  
260.8   	-80.25  
261.2   	-80.51  
261.6   	-80.69  
262     	-80.83  
262.4   	-80.93  
262.8   	-80.99  
263.2   	-81.04  
263.6   	-81.06  
264     	-81.07  
264.4   	-81.07  
264.8   	-81.07  
265.2   	-81.06  
265.6   	-81.04  
266     	-81.02  
266.4   	-81     
266.8   	-80.98  
267.2   	-80.95  
267.6   	-80.92  
268     	-80.9   
268.4   	-80.87  
268.8   	-80.84  
269.2   	-80.8   
269.6   	-80.75  
270     	-80.69  
270.4   	-80.62  
270.8   	-80.53  
271.2   	-80.29  
271.6   	-79.61  
272     	-77.49  
272.4   	-69.14  
272.8   	-37.28  
273.2   	42.84   
273.6   	37      
274     	21.18   
274.4   	3.317   
274.8   	-14.37  
275.2   	-33.02  
275.6   	-50.97  
276     	-63.65  
276.4   	-70.92  
276.8   	-74.96  
277.2   	-77.24  
277.6   	-78.57  
278     	-79.38  
278.4   	-79.89  
278.8   	-80.23  
279.2   	-80.46  
279.6   	-80.61  
280     	-80.72  
280.4   	-80.79  
280.8   	-80.84  
281.2   	-80.86  
281.6   	-80.87  
282     	-80.87  
282.4   	-80.86  
282.8   	-80.85  
283.2   	-80.83  
283.6   	-80.8   
284     	-80.78  
284.4   	-80.75  
284.8   	-80.72  
285.2   	-80.69  
285.6   	-80.66  
286     	-80.63  
286.4   	-80.59  
286.8   	-80.56  
287.2   	-80.53  
287.6   	-80.51  
288     	-80.49  
288.4   	-80.48  
288.8   	-80.47  
289.2   	-80.46  
289.6   	-80.46  
290     	-80.46  
290.4   	-80.46  
290.8   	-80.47  
291.2   	-80.48  
291.6   	-80.49  
292     	-80.5   
292.4   	-80.51  
292.8   	-80.52  
293.2   	-80.53  
293.6   	-80.55  
294     	-80.57  
294.4   	-80.58  
294.8   	-80.6   
295.2   	-80.62  
295.6   	-80.64  
296     	-80.66  
296.4   	-80.68  
296.8   	-80.69  
297.2   	-80.7   
297.6   	-80.71  
298     	-80.72  
298.4   	-80.73  
298.8   	-80.75  
299.2   	-80.77  
299.6   	-80.78  
300     	-80.79  
300.4   	-80.79  
300.8   	-80.78  
301.2   	-80.77  
301.6   	-80.75  
302     	-80.72  
302.4   	-80.7   
302.8   	-80.69  
303.2   	-80.67  
303.6   	-80.64  
304     	-80.6   
304.4   	-80.56  
304.8   	-80.51  
305.2   	-80.46  
305.6   	-80.4   
306     	-80.36  
306.4   	-80.31  
306.8   	-80.27  
307.2   	-80.24  
307.6   	-80.2   
308     	-80.16  
308.4   	-80.13  
308.8   	-80.1   
309.2   	-80.06  
309.6   	-80.03  
310     	-79.99  
310.4   	-79.96  
310.8   	-79.93  
311.2   	-79.91  
311.6   	-79.89  
312     	-79.89  
312.4   	-79.88  
312.8   	-79.89  
313.2   	-79.9   
313.6   	-79.91  
314     	-79.93  
314.4   	-79.96  
314.8   	-79.99  
315.2   	-80.03  
315.6   	-80.07  
316     	-80.1   
316.4   	-80.14  
316.8   	-80.17  
317.2   	-80.2   
317.6   	-80.23  
318     	-80.27  
318.4   	-80.3   
318.8   	-80.34  
319.2   	-80.38  
319.6   	-80.41  
320     	-80.43  
320.4   	-80.46  
320.8   	-80.49  
321.2   	-80.52  
321.6   	-80.54  
322     	-80.57  
322.4   	-80.6   
322.8   	-80.63  
323.2   	-80.66  
323.6   	-80.7   
324     	-80.73  
324.4   	-80.77  
324.8   	-80.81  
325.2   	-80.85  
325.6   	-80.88  
326     	-80.91  
326.4   	-80.94  
326.8   	-80.97  
327.2   	-80.98  
327.6   	-80.98  
328     	-80.98  
328.4   	-80.98  
328.8   	-80.97  
329.2   	-80.95  
329.6   	-80.94  
330     	-80.92  
330.4   	-80.91  
330.8   	-80.89  
331.2   	-80.88  
331.6   	-80.87  
332     	-80.86  
332.4   	-80.86  
332.8   	-80.86  
333.2   	-80.86  
333.6   	-80.86  
334     	-80.86  
334.4   	-80.87  
