
SWEPT_VAR_1 = 1.550000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
61.6    	-22.16  
61.7    	-22.25  
61.8    	-22.35  
61.9    	-22.44  
62      	-22.53  
62.1    	-22.04  
62.2    	-20.45  
62.3    	-18.69  
62.4    	-17.17  
62.5    	-15.98  
62.6    	-15.07  
62.7    	-14.4   
62.8    	-13.93  
62.9    	-13.59  
63      	-13.37  
63.1    	-13.24  
63.2    	-13.16  
63.3    	-13.14  
63.4    	-13.16  
63.5    	-13.2   
63.6    	-13.26  
63.7    	-13.34  
63.8    	-13.43  
63.9    	-13.53  
64      	-13.64  
64.1    	-13.75  
64.2    	-13.87  
64.3    	-13.99  
64.4    	-14.11  
64.5    	-14.23  
64.6    	-14.35  
64.7    	-14.47  
64.8    	-14.6   
64.9    	-14.72  
65      	-14.84  
65.1    	-14.97  
65.2    	-15.09  
65.3    	-15.21  
65.4    	-15.34  
65.5    	-15.46  
65.6    	-15.58  
65.7    	-15.7   
65.8    	-15.83  
65.9    	-15.95  
66      	-16.07  
66.1    	-16.19  
66.2    	-16.31  
66.3    	-16.43  
66.4    	-16.55  
66.5    	-16.67  
66.6    	-16.79  
66.7    	-16.91  
66.8    	-17.03  
66.9    	-17.14  
67      	-17.26  
67.1    	-17.38  
67.2    	-17.5   
67.3    	-17.61  
67.4    	-17.73  
67.5    	-17.84  
67.6    	-17.96  
67.7    	-18.07  
67.8    	-18.19  
67.9    	-18.3   
68      	-18.42  
68.1    	-18.53  
68.2    	-18.64  
68.3    	-18.75  
68.4    	-18.87  
68.5    	-18.98  
68.6    	-19.09  
68.7    	-19.2   
68.8    	-19.31  
68.9    	-19.42  
69      	-19.53  
69.1    	-19.63  
69.2    	-19.74  
69.3    	-19.85  
69.4    	-19.96  
69.5    	-20.06  
69.6    	-20.17  
69.7    	-20.27  
69.8    	-20.38  
69.9    	-20.48  
70      	-20.58  
70.1    	-20.69  
70.2    	-20.79  
70.3    	-20.89  
70.4    	-20.99  
70.5    	-21.09  
70.6    	-21.19  
70.7    	-21.29  
70.8    	-21.39  
70.9    	-21.49  
71      	-21.58  
71.1    	-21.68  
71.2    	-21.77  
71.3    	-21.87  
71.4    	-21.96  
71.5    	-22.06  
71.6    	-22.15  
71.7    	-22.24  
71.8    	-22.33  
71.9    	-22.42  
72      	-22.51  
72.1    	-22.03  
72.2    	-20.44  
72.3    	-18.68  
72.4    	-17.17  
72.5    	-15.97  
72.6    	-15.06  
72.7    	-14.4   
72.8    	-13.92  
72.9    	-13.59  
73      	-13.37  
73.1    	-13.23  
73.2    	-13.16  
73.3    	-13.14  
73.4    	-13.16  
73.5    	-13.2   
73.6    	-13.26  
73.7    	-13.34  
73.8    	-13.43  
73.9    	-13.53  
74      	-13.64  
74.1    	-13.75  
74.2    	-13.87  
74.3    	-13.99  
74.4    	-14.11  
74.5    	-14.23  
74.6    	-14.35  
74.7    	-14.47  
74.8    	-14.6   
74.9    	-14.72  
75      	-14.84  
75.1    	-14.97  
75.2    	-15.09  
75.3    	-15.21  
75.4    	-15.34  
75.5    	-15.46  
75.6    	-15.58  
75.7    	-15.7   
75.8    	-15.83  
75.9    	-15.95  
76      	-16.07  
76.1    	-16.19  
76.2    	-16.31  
76.3    	-16.43  
76.4    	-16.55  
76.5    	-16.67  
76.6    	-16.79  
76.7    	-16.91  
76.8    	-17.03  
76.9    	-17.14  
77      	-17.26  
77.1    	-17.38  
77.2    	-17.5   
77.3    	-17.61  
77.4    	-17.73  
77.5    	-17.84  
77.6    	-17.96  
77.7    	-18.07  
77.8    	-18.19  
77.9    	-18.3   
78      	-18.42  
78.1    	-18.53  
78.2    	-18.64  
78.3    	-18.75  
78.4    	-18.86  
78.5    	-18.98  
78.6    	-19.09  
78.7    	-19.2   
78.8    	-19.31  
78.9    	-19.42  
79      	-19.52  
79.1    	-19.63  
79.2    	-19.74  
79.3    	-19.85  
79.4    	-19.95  
79.5    	-20.06  
79.6    	-20.17  
79.7    	-20.27  
79.8    	-20.37  
79.9    	-20.48  
80      	-20.58  
80.1    	-20.68  
80.2    	-20.79  
80.3    	-20.89  
80.4    	-20.99  
80.5    	-21.09  
80.6    	-21.19  
80.7    	-21.29  
80.8    	-21.39  
80.9    	-21.48  
81      	-21.58  
81.1    	-21.68  
81.2    	-21.77  
81.3    	-21.87  
81.4    	-21.96  
81.5    	-22.05  
81.6    	-22.15  
81.7    	-22.24  
81.8    	-22.33  
81.9    	-22.42  
82      	-22.51  
82.1    	-22.03  
82.2    	-20.43  
82.3    	-18.68  
82.4    	-17.16  
82.5    	-15.97  
82.6    	-15.06  
82.7    	-14.4   
82.8    	-13.92  
82.9    	-13.59  
83      	-13.37  
83.1    	-13.24  
83.2    	-13.16  
83.3    	-13.14  
83.4    	-13.16  
83.5    	-13.2   
83.6    	-13.26  
83.7    	-13.34  
83.8    	-13.43  
83.9    	-13.54  
84      	-13.64  
84.1    	-13.75  
84.2    	-13.87  
84.3    	-13.99  
84.4    	-14.11  
84.5    	-14.23  
84.6    	-14.35  
84.7    	-14.47  
84.8    	-14.6   
84.9    	-14.72  
85      	-14.85  
85.1    	-14.97  
85.2    	-15.09  
85.3    	-15.21  
85.4    	-15.34  
85.5    	-15.46  
85.6    	-15.58  
85.7    	-15.7   
85.8    	-15.83  
85.9    	-15.95  
86      	-16.07  
86.1    	-16.19  
86.2    	-16.31  
86.3    	-16.43  
86.4    	-16.55  
86.5    	-16.67  
86.6    	-16.79  
86.7    	-16.91  
86.8    	-17.03  
86.9    	-17.14  
87      	-17.26  
87.1    	-17.38  
87.2    	-17.5   
87.3    	-17.61  
87.4    	-17.73  
87.5    	-17.84  
87.6    	-17.96  
87.7    	-18.07  
87.8    	-18.19  
87.9    	-18.3   
88      	-18.42  
88.1    	-18.53  
88.2    	-18.64  
88.3    	-18.75  
88.4    	-18.87  
88.5    	-18.98  
88.6    	-19.09  
88.7    	-19.2   
88.8    	-19.31  
88.9    	-19.42  
89      	-19.52  
89.1    	-19.63  
89.2    	-19.74  
89.3    	-19.85  
89.4    	-19.95  
89.5    	-20.06  
89.6    	-20.17  
89.7    	-20.27  
89.8    	-20.38  
89.9    	-20.48  
90      	-20.58  
90.1    	-20.68  
90.2    	-20.79  
90.3    	-20.89  
90.4    	-20.99  
90.5    	-21.09  
90.6    	-21.19  
90.7    	-21.29  
90.8    	-21.39  
90.9    	-21.48  
91      	-21.58  
91.1    	-21.68  
91.2    	-21.77  
91.3    	-21.87  
91.4    	-21.96  
91.5    	-22.05  
91.6    	-22.15  
91.7    	-22.24  
91.8    	-22.33  
91.9    	-22.42  
92      	-22.51  
92.1    	-22.03  
92.2    	-20.43  
92.3    	-18.68  
92.4    	-17.16  
92.5    	-15.97  
92.6    	-15.06  
92.7    	-14.4   
92.8    	-13.92  
92.9    	-13.59  
93      	-13.37  
93.1    	-13.24  
93.2    	-13.17  
93.3    	-13.14  
93.4    	-13.16  
93.5    	-13.2   
93.6    	-13.26  
93.7    	-13.34  
93.8    	-13.44  
93.9    	-13.54  
94      	-13.64  
94.1    	-13.76  
94.2    	-13.87  
94.3    	-13.99  
94.4    	-14.11  
94.5    	-14.23  
94.6    	-14.35  
94.7    	-14.48  
94.8    	-14.6   
94.9    	-14.72  
95      	-14.85  
95.1    	-14.97  
95.2    	-15.09  
95.3    	-15.22  
95.4    	-15.34  
95.5    	-15.46  
95.6    	-15.58  
95.7    	-15.71  
95.8    	-15.83  
95.9    	-15.95  
96      	-16.07  
96.1    	-16.19  
96.2    	-16.31  
96.3    	-16.43  
96.4    	-16.55  
96.5    	-16.67  
96.6    	-16.79  
96.7    	-16.91  
96.8    	-17.03  
96.9    	-17.14  
97      	-17.26  
97.1    	-17.38  
97.2    	-17.5   
97.3    	-17.61  
97.4    	-17.73  
97.5    	-17.84  
97.6    	-17.96  
97.7    	-18.07  
97.8    	-18.19  
97.9    	-18.3   
98      	-18.42  
98.1    	-18.53  
98.2    	-18.64  
98.3    	-18.75  
98.4    	-18.87  
98.5    	-18.98  
98.6    	-19.09  
98.7    	-19.2   
98.8    	-19.31  
98.9    	-19.42  
99      	-19.53  
99.1    	-19.63  
99.2    	-19.74  
99.3    	-19.85  
99.4    	-19.95  
99.5    	-20.06  
99.6    	-20.17  
99.7    	-20.27  
99.8    	-20.38  
99.9    	-20.48  
100     	-20.58  
